id,name,auth_methods,access_accept,api_accept,mcp_accept,verdict_accept,sources,notes
2,HubSpot,oauth2;bearer_token,self_serve_free,rest,official,build_now,https://developers.hubspot.com/docs/api/intro-to-auth ; https://developers.hubspot.com/ai-tools/mcp,OAuth apps + private-app access tokens; free CRM + free dev account; remote MCP at mcp.hubspot.com (OAuth)
6,Podio,oauth2,self_serve_free,rest,none_found|community_only,build_now,https://developers.podio.com/authentication ; https://developers.podio.com/api-key ; https://www.progress.com/podio/pricing,API key = OAuth client id/secret from settings; Free plan (5 users) includes API at 1000 calls/hour
19,Gorgias,api_key;basic;oauth2,self_serve_trial|approval_or_review,rest,official,build_with_friction,https://developers.gorgias.com/reference/authentication ; https://developers.gorgias.com/docs/1-register-on-developer-portal ; https://updates.gorgias.com/publications/gorgias-mcp-is-now-in-open-beta,Private app = API key over Basic; public app = OAuth2 mandatory; no free plan - trial or approved developer sandbox; vendor MCP in open beta
20,Gladly,basic;api_key,partner_or_sales,rest,none_found|community_only,blocked,https://developer.gladly.com/rest/ ; https://help.gladly.com/docs/generate-api-tokens-and-create-webhooks,Token-based Basic auth (user email + API token); tokens only inside a customer's Gladly org; no self-serve signup
22,Twilio,basic;api_key,self_serve_free|self_serve_trial,rest,official,build_now|build_with_friction,https://www.twilio.com/docs/usage/api ; https://github.com/twilio-labs/mcp,Account SID + auth token or API key/secret over Basic; free trial account with credit (not time-limited) - borderline free vs trial
24,Lark (Larksuite),oauth2;bearer_token;other,self_serve_free,rest,official,build_now,https://open.larksuite.com/document/ukTMukTMukTM/ukDNz4SO0MjL5QzM/g ; https://github.com/larksuite/lark-openapi-mcp,app_id/app_secret -> tenant_access_token; user_access_token via OAuth; official lark-openapi-mcp repo
39,Threads (Meta),oauth2,self_serve_free|approval_or_review,rest,none_found|community_only,build_with_friction,https://developers.facebook.com/docs/threads ; https://developers.facebook.com/docs/permissions/,Meta app + OAuth; works for app testers in dev mode; public use needs Meta App Review
40,SendGrid,api_key;bearer_token,self_serve_trial,rest,none_found|community_only,build_with_friction,https://www.twilio.com/docs/sendgrid/api-reference ; https://support.sendgrid.com/hc/en-us/articles/35270136965403-Twilio-SendGrid-Trial-Account-Plan,API key sent as Bearer; free plan replaced by 60-day timed trial (Mar 2025); no official MCP (Twilio blog shows how to build one)
47,Ecwid,oauth2;bearer_token,paid_plan,rest,none_found|community_only,build_with_friction,https://docs.ecwid.com/get-started/set-up-your-dev-environment-in-ecwid ; https://api-docs.ecwid.com/reference/rest-api,"""Only stores on paid plans can access API""; developers can request a free test store"
49,Amazon Selling Partner,oauth2,approval_or_review,rest,official,build_with_friction,https://developer-docs.amazon.com/sp-api/docs/registering-your-application ; https://github.com/amzn/selling-partner-api-samples,Login with Amazon OAuth; developer profile must be approved (+ Seller Central account); Amazon published sp-api-dev-mcp
58,Sherlock,none,open_source_local,sdk_or_cli_only|none,none_found|community_only,build_with_friction|blocked,https://github.com/sherlock-project/sherlock,Python CLI you run locally; no hosted API or credentials
60,Clay,api_key;bearer_token;jwt_or_signed,self_serve_free,rest,official,build_now,https://university.clay.com/docs/using-clay-as-an-api ; https://www.clay.com/mcp,"""The developer platform is available across all Clay plans, including free and trial plans""; official Clay MCP"
61,GitHub,oauth2;bearer_token;jwt_or_signed,self_serve_free,rest|graphql,official,build_now,https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api ; https://github.com/github/github-mcp-server,OAuth apps / PATs / GitHub App JWT; official github-mcp-server
64,Cloudflare,bearer_token;api_key,self_serve_free,rest|graphql,official,build_now,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/ ; https://github.com/cloudflare/mcp-server-cloudflare,API tokens (Bearer) + legacy global API key; free plan; official MCP servers
72,Airtable,bearer_token;oauth2,self_serve_free,rest,official,build_now,https://airtable.com/developers/web/api/authentication ; https://support.airtable.com/docs/using-the-airtable-mcp-server,Personal access tokens + OAuth; free plan; official Airtable MCP server
80,Harvest,bearer_token;oauth2,self_serve_free|self_serve_trial,rest,none_found|community_only,build_now,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/,Personal access token or OAuth2; Free plan (1 seat / 2 projects) still exists
82,Plaid,api_key,self_serve_free,rest,official,build_now|build_with_friction,https://plaid.com/docs/api/ ; https://plaid.com/docs/resources/mcp/,client_id + secret in request body; free Sandbox; production needs approval; official Plaid MCP
85,iPayX,,,,official,build_with_friction|blocked,https://www.ipayx.ai/docs/mcp-server ; https://glama.ai/mcp/connectors/io.github.Ipayx-stellar/fx-audit,Defeated a careful human check too: site documents no public REST API or pricing; only an MCP connector listing mentions a dashboard Bearer token. Auth/access/API left unscored.
92,Otter AI,oauth2,partner_or_sales,none|rest,official,build_with_friction|blocked,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,"Official Otter MCP (OAuth); ""We currently do not have a public API key at this time"""
98,Mermaid CLI,none,open_source_local,sdk_or_cli_only|none,official|none_found|community_only,build_now|build_with_friction,https://github.com/mermaid-js/mermaid-cli ; https://mermaid.ai/docs/ai/mcp-server,Local Node CLI; no auth; Mermaid Chart (the company) runs an MCP but it is not the CLI - MCP label ambiguous
